 ps_partkey |       value        
------------+--------------------
      83197 |        19523838.16
     130631 |         17112387.4
     186392 | 16470758.309999999
      14918 |         16429198.8
     149802 |         16336762.5
      42743 | 16159095.719999999
     126398 |        16107690.98
     157440 |        15955266.07
      44581 |        15647357.34
      23236 |        15532695.84
     181979 |        15275008.05
     114268 |        15225869.88
      20139 |        15190118.83
     119216 | 15187671.780000001
      76340 | 15024648.280000001
     186810 |        14871392.91
      59249 |        14812467.68
      19707 |        14788426.88
     174260 |        14716901.34
         29 | 14706367.900000002
     105722 |        14677357.21
     168246 |        14616151.41
     123984 |        14491476.55
     169546 | 14357566.600000001
      81501 |        14198702.52
       2002 |        14105077.72
     123480 |        13969446.02
     158206 |        13968413.98
     158435 |        13809759.21
      31036 |        13487725.64
     151811 |         13323910.8
       4502 | 13045709.440000001
      64260 |        13017009.95
     199787 |        12994806.47
     187842 | 12939785.219999999
     156900 |        12890492.63
      39301 |        12794685.89
      97654 | 12788806.260000002
      78273 |        12625500.78
      82251 | 12608559.809999999
     160736 |        12568548.45
      90194 |        12550864.32
     195270 |        12538794.07
      78181 |         12465753.7
     193352 |        12384877.06
      92754 |        12358872.05
      12265 |        12317671.52
     193151 |        12298959.59
     128755 | 12243824.170000002
      11040 |        12141411.76
      51931 |        12103755.64
     151000 |        12070329.51
      95263 |         12047853.3
     173535 |         12047513.1
      62088 |        12030239.16
      21520 |        11948330.55
       5378 |        11940518.15
     134914 |         11931958.4
      65709 |        11895477.64
     106261 |        11882157.48
     148436 |        11873870.02
      93222 | 11842108.559999999
     162472 |        11831771.44
     181129 |        11809224.91
     164641 | 11803365.719999999
      53236 |        11770791.58
     121055 |        11696615.04
     194445 |        11688146.51
      31411 | 11611719.790000001
      34914 | 11580487.440000001
     166231 |        11516902.99
     147680 |        11479946.32
      63805 |        11418440.16
     150018 | 11411697.239999998
     154298 |        11405005.08
     184379 |        11378190.18
      44457 |        11336793.93
      18700 |        11331161.24
      84939 |         11317815.1
     121867 |        11290421.81
      43205 |        11285097.54
      75906 |        11283824.34
      85840 |        11275451.78
     113146 | 11270834.030000001
      36405 |        11264582.78
      39364 |        11250558.06
      97725 | 11228008.079999998
     129122 |         11227976.3
     183204 |        11154240.96
      86795 |        11141035.27
     109581 |        11097015.73
     125121 |         11088282.8
     107073 |        11087199.76
     163960 |        11060144.68
      93993 |        11033247.81
      22093 | 11010006.709999999
      91870 |        10975698.03
      68240 |        10964963.46
      70320 |        10941138.06
      39576 | 10939268.780000001
     190939 |        10923383.02
      15374 | 10919168.850000001
     166441 |        10901415.32
     100742 |         10863522.7
      93195 |        10862345.92
      75728 |        10858703.98
     158325 | 10845454.170000002
     120632 |        10840459.04
     168220 |        10837497.85
     146779 |        10815399.66
     128159 |        10748923.56
      80856 |        10736458.98
      14686 |        10666847.09
      41778 | 10632920.850000001
       9562 |        10618027.84
      96164 |        10599159.83
      48040 | 10591176.629999999
      90534 |        10536586.35
     118573 | 10532933.120000001
     168954 |        10532232.17
     107875 |        10501327.38
      89303 |        10489205.57
      29509 |        10441356.18
     156030 |        10426115.83
      56801 |        10411525.52
     198113 |        10400110.77
     157344 | 10371711.639999999
     197436 |         10344184.5
      51778 |        10343403.26
     161444 |        10331253.23
      66203 | 10330695.040000001
     140209 |        10264846.32
      94379 |        10262133.54
      28910 |        10253489.26
     185722 |        10233889.49
      17834 | 10229633.530000001
     100124 |         10228196.7
      88198 | 10218245.879999999
     109431 |        10214076.96
      96502 |        10203777.46
      92072 |           10195045
      28360 | 10194496.530000001
      72820 |        10158350.98
      49561 |         10146607.4
     160948 |         10143201.5
     152533 |        10125255.52
     114451 |        10062064.08
      61020 | 10021693.000000002
      38128 |         9982896.96
       1627 |         9962273.26
     173541 |         9941318.98
     122002 |          9896640.1
      26497 |         9882233.55
     190894 |  9866027.440000001
     169502 |          9848614.6
     171607 |         9833884.32
     189546 |         9818509.67
      70920 |         9817493.84
     187436 |         9807168.52
      40053 |         9800129.85
      73760 |  9799461.739999998
     142057 |         9797873.56
     134275 |         9792778.49
      38402 |         9783674.74
     154497 |         9776410.14
      72581 |  9746191.360000001
      28055 |          9743469.6
     153956 |         9742381.02
      60858 |         9737021.36
     143914 |         9730898.32
     109542 |  9729767.040000001
      30774 |         9721921.33
     125297 |            9716890
      78413 |         9714998.58
     156612 |          9709705.3
      78270 |         9708536.25
     123222 |  9696155.040000001
      89820 |          9686665.1
      47770 |         9673941.84
      26779 |            9671697
     130851 |  9663661.120000001
      17825 |  9660954.030000001
      63364 |         9654494.17
     103476 |         9633813.34
     184539 |  9632607.950000001
     106669 |         9628806.32
      34445 |         9626899.04
      17608 |         9625849.48
     138441 |         9619897.71
      85940 |         9609447.98
     143092 |         9594018.66
     191469 |  9590631.860000001
     131290 |         9584587.58
      43480 |         9582364.66
     167267 |          9574215.6
     124743 |         9566046.84
     121147 |         9565085.12
     185657 |          9562481.4
     163946 |         9561033.68
      75180 |          9560743.5
      45536 |         9552890.58
      94451 |  9544714.879999999
       9411 |         9541127.52
     108740 |  9537152.219999999
     155858 |            9535011
     140400 |         9529683.12
      18539 |         9529097.05
     111419 |  9527839.200000001
      56517 |         9527461.26
      12388 |  9512254.020000001
      52974 |         9511668.18
      50920 |         9511326.02
     102737 |         9510863.67
     174030 |            9510525
     148840 |         9510481.92
     113965 |  9508374.200000001
      79336 |          9505994.4
      42508 |         9504722.83
     137436 |         9498627.54
     135242 |         9497499.38
      29500 |         9493107.84
      23144 |         9490091.52
      96984 |         9483331.24
     143721 |         9482372.25
     185158 |         9474580.44
     107104 |          9467359.2
     131653 |         9462227.25
      46803 |  9459081.299999999
      73252 |         9456378.36
      15086 |  9449463.879999999
     178403 |         9446493.87
     159528 |            9445810
      38954 |         9442245.68
     162719 |         9440292.84
     119595 |         9440001.41
     185035 |         9436611.25
       1460 |         9432132.56
      56788 |         9424716.14
      37796 |         9418070.88
     154890 |         9413877.33
     188240 |  9412673.110000001
     167004 |          9404116.4
     176576 |         9401505.78
     133332 |  9397210.530000001
     110054 |  9392249.209999999
     152088 |         9391955.49
      59076 |         9386578.55
     173326 |         9377255.74
      93656 |         9374032.59
      72006 |         9361107.35
     193203 |          9360087.6
      94566 |          9355754.5
     158821 |         9351570.69
     153092 |         9348916.98
      13810 |         9345547.53
     138503 |  9335084.740000002
     194422 |         9332615.64
      78076 |          9331767.5
