 c_count | custdist 
---------+----------
       0 |    50004
       9 |     6642
      10 |     6578
      11 |     6010
       8 |     5916
      12 |     5598
      13 |     5009
      19 |     4704
       7 |     4677
      17 |     4604
      20 |     4581
      18 |     4523
      14 |     4470
      15 |     4449
      16 |     4339
      21 |     4173
      22 |     3717
       6 |     3295
      23 |     3196
      24 |     2647
      25 |     2120
       5 |     1962
      26 |     1632
      27 |     1196
       4 |      985
      28 |      873
      29 |      595
       3 |      412
      30 |      370
      31 |      233
      32 |      146
       2 |      133
      33 |       83
      34 |       43
      35 |       28
      36 |       20
       1 |       19
      37 |        6
      38 |        4
      40 |        3
      39 |        3
      41 |        2
(42 rows)

