  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#55   | LARGE BURNISHED TIN       |     21 |           36
 Brand#24   | ECONOMY PLATED TIN        |     13 |           32
 Brand#55   | MEDIUM BRUSHED COPPER     |     17 |           28
 Brand#54   | STANDARD BRUSHED COPPER   |     14 |           27
 Brand#12   | MEDIUM PLATED BRASS       |     21 |           24
 Brand#13   | ECONOMY PLATED STEEL      |     13 |           24
 Brand#22   | LARGE ANODIZED BRASS      |      6 |           24
 Brand#22   | STANDARD ANODIZED TIN     |     12 |           24
 Brand#25   | SMALL BURNISHED COPPER    |     17 |           24
 Brand#31   | LARGE ANODIZED BRASS      |      6 |           24
 Brand#32   | PROMO POLISHED COPPER     |     13 |           24
 Brand#33   | PROMO POLISHED STEEL      |     14 |           24
 Brand#34   | SMALL BRUSHED TIN         |     21 |           24
 Brand#34   | STANDARD PLATED STEEL     |     13 |           24
 Brand#35   | PROMO BRUSHED NICKEL      |     14 |           24
 Brand#41   | LARGE PLATED BRASS        |      2 |           24
 Brand#42   | ECONOMY POLISHED TIN      |      6 |           24
 Brand#42   | STANDARD ANODIZED NICKEL  |     12 |           24
 Brand#42   | STANDARD POLISHED TIN     |     49 |           24
 Brand#43   | LARGE BRUSHED TIN         |      2 |           24
 Brand#43   | SMALL POLISHED BRASS      |      6 |           24
 Brand#52   | ECONOMY BRUSHED BRASS     |     13 |           24
 Brand#52   | ECONOMY PLATED TIN        |     14 |           24
 Brand#53   | MEDIUM ANODIZED STEEL     |     14 |           24
 Brand#53   | SMALL BRUSHED STEEL       |     12 |           24
 Brand#55   | ECONOMY BURNISHED NICKEL  |     21 |           24
 Brand#21   | LARGE BURNISHED NICKEL    |     21 |           23
 Brand#11   | LARGE BRUSHED COPPER      |     49 |           20
 Brand#11   | LARGE POLISHED COPPER     |     49 |           20
 Brand#12   | MEDIUM POLISHED COPPER    |      6 |           20
 Brand#12   | PROMO BURNISHED TIN       |      2 |           20
 Brand#12   | SMALL PLATED NICKEL       |      2 |           20
 Brand#12   | STANDARD ANODIZED TIN     |     49 |           20
 Brand#13   | ECONOMY BURNISHED STEEL   |     14 |           20
 Brand#13   | MEDIUM POLISHED TIN       |     12 |           20
 Brand#14   | ECONOMY ANODIZED COPPER   |     14 |           20
 Brand#14   | LARGE BRUSHED NICKEL      |      2 |           20
 Brand#14   | SMALL POLISHED TIN        |     14 |           20
 Brand#14   | STANDARD PLATED NICKEL    |      2 |           20
 Brand#15   | LARGE BURNISHED STEEL     |      6 |           20
 Brand#15   | PROMO PLATED BRASS        |     14 |           20
 Brand#15   | SMALL PLATED COPPER       |     49 |           20
 Brand#15   | STANDARD BURNISHED STEEL  |     12 |           20
 Brand#21   | MEDIUM ANODIZED COPPER    |     14 |           20
 Brand#21   | MEDIUM BRUSHED BRASS      |     17 |           20
 Brand#21   | PROMO ANODIZED NICKEL     |      2 |           20
 Brand#21   | PROMO ANODIZED STEEL      |     21 |           20
 Brand#21   | SMALL ANODIZED NICKEL     |      6 |           20
 Brand#21   | SMALL BRUSHED NICKEL      |     21 |           20
 Brand#22   | LARGE BRUSHED COPPER      |     49 |           20
 Brand#22   | LARGE BRUSHED NICKEL      |     13 |           20
 Brand#22   | PROMO ANODIZED TIN        |     49 |           20
 Brand#22   | PROMO PLATED COPPER       |     21 |           20
 Brand#23   | MEDIUM ANODIZED TIN       |     12 |           20
 Brand#23   | STANDARD ANODIZED TIN     |     21 |           20
 Brand#23   | STANDARD BRUSHED TIN      |     14 |           20
 Brand#23   | STANDARD POLISHED BRASS   |     17 |           20
 Brand#23   | STANDARD POLISHED COPPER  |     21 |           20
 Brand#24   | ECONOMY ANODIZED STEEL    |     21 |           20
 Brand#24   | MEDIUM PLATED TIN         |      2 |           20
 Brand#24   | PROMO ANODIZED NICKEL     |     21 |           20
 Brand#24   | PROMO PLATED COPPER       |     49 |           20
 Brand#24   | PROMO PLATED STEEL        |     49 |           20
 Brand#25   | LARGE ANODIZED COPPER     |      6 |           20
 Brand#25   | MEDIUM BURNISHED COPPER   |      6 |           20
 Brand#31   | LARGE PLATED NICKEL       |     13 |           20
 Brand#31   | MEDIUM BURNISHED TIN      |     17 |           20
 Brand#31   | MEDIUM POLISHED BRASS     |     17 |           20
 Brand#31   | SMALL ANODIZED STEEL      |     14 |           20
 Brand#32   | ECONOMY BRUSHED NICKEL    |     49 |           20
 Brand#32   | PROMO ANODIZED NICKEL     |      6 |           20
 Brand#32   | PROMO BRUSHED COPPER      |     21 |           20
 Brand#32   | PROMO POLISHED COPPER     |      2 |           20
 Brand#32   | SMALL PLATED STEEL        |     13 |           20
 Brand#33   | ECONOMY BURNISHED TIN     |      2 |           20
 Brand#33   | LARGE ANODIZED BRASS      |     12 |           20
 Brand#33   | LARGE BRUSHED COPPER      |      2 |           20
 Brand#33   | PROMO PLATED NICKEL       |     14 |           20
 Brand#33   | SMALL BRUSHED COPPER      |     17 |           20
 Brand#33   | STANDARD ANODIZED BRASS   |     49 |           20
 Brand#34   | ECONOMY BRUSHED NICKEL    |     49 |           20
 Brand#34   | ECONOMY PLATED NICKEL     |     17 |           20
 Brand#34   | LARGE POLISHED COPPER     |      6 |           20
 Brand#34   | MEDIUM POLISHED STEEL     |     12 |           20
 Brand#34   | STANDARD BRUSHED BRASS    |      2 |           20
 Brand#35   | ECONOMY BURNISHED COPPER  |     17 |           20
 Brand#35   | ECONOMY POLISHED STEEL    |     13 |           20
 Brand#35   | PROMO ANODIZED COPPER     |     49 |           20
 Brand#35   | SMALL POLISHED COPPER     |     14 |           20
 Brand#35   | STANDARD BRUSHED TIN      |      6 |           20
 Brand#35   | STANDARD PLATED STEEL     |     12 |           20
 Brand#41   | LARGE BURNISHED TIN       |     12 |           20
 Brand#41   | MEDIUM BRUSHED NICKEL     |     12 |           20
 Brand#41   | SMALL BURNISHED TIN       |     17 |           20
 Brand#41   | STANDARD POLISHED COPPER  |      2 |           20
 Brand#42   | LARGE POLISHED COPPER     |      6 |           20
 Brand#42   | MEDIUM BURNISHED BRASS    |     14 |           20
 Brand#43   | ECONOMY BURNISHED BRASS   |     21 |           20
 Brand#43   | LARGE PLATED TIN          |     13 |           20
 Brand#43   | MEDIUM POLISHED STEEL     |      6 |           20
 Brand#43   | STANDARD BURNISHED BRASS  |      2 |           20
 Brand#44   | ECONOMY PLATED TIN        |     17 |           20
 Brand#44   | MEDIUM ANODIZED TIN       |     13 |           20
 Brand#44   | PROMO ANODIZED TIN        |     21 |           20
 Brand#44   | PROMO BURNISHED COPPER    |     13 |           20
 Brand#44   | SMALL BURNISHED NICKEL    |     17 |           20
 Brand#44   | STANDARD BURNISHED STEEL  |     17 |           20
 Brand#45   | ECONOMY ANODIZED STEEL    |     13 |           20
 Brand#45   | SMALL POLISHED NICKEL     |     14 |           20
 Brand#51   | ECONOMY ANODIZED COPPER   |     13 |           20
 Brand#51   | ECONOMY BRUSHED BRASS     |     49 |           20
 Brand#51   | ECONOMY PLATED COPPER     |     12 |           20
 Brand#51   | LARGE POLISHED BRASS      |     21 |           20
 Brand#51   | SMALL BURNISHED NICKEL    |     17 |           20
 Brand#51   | SMALL PLATED NICKEL       |     49 |           20
 Brand#51   | STANDARD ANODIZED NICKEL  |     49 |           20
 Brand#51   | STANDARD BRUSHED NICKEL   |     17 |           20
 Brand#52   | ECONOMY BRUSHED COPPER    |     49 |           20
 Brand#52   | LARGE PLATED BRASS        |     17 |           20
 Brand#52   | MEDIUM BRUSHED NICKEL     |     13 |           20
 Brand#52   | MEDIUM BRUSHED STEEL      |     13 |           20
 Brand#52   | SMALL ANODIZED TIN        |     13 |           20
 Brand#52   | SMALL BRUSHED TIN         |     21 |           20
 Brand#52   | SMALL PLATED TIN          |      6 |           20
 Brand#53   | PROMO ANODIZED COPPER     |     49 |           20
 Brand#53   | STANDARD POLISHED TIN     |     21 |           20
 Brand#54   | LARGE PLATED STEEL        |      2 |           20
 Brand#54   | PROMO BURNISHED NICKEL    |      2 |           20
 Brand#54   | STANDARD ANODIZED BRASS   |     12 |           20
 Brand#55   | LARGE BURNISHED STEEL     |      6 |           20
 Brand#55   | MEDIUM PLATED NICKEL      |     21 |           20
 Brand#55   | PROMO BURNISHED STEEL     |     14 |           20
 Brand#55   | PROMO BURNISHED TIN       |      6 |           20
 Brand#55   | PROMO PLATED STEEL        |     13 |           20
 Brand#55   | PROMO POLISHED NICKEL     |     49 |           20
 Brand#55   | SMALL ANODIZED COPPER     |      6 |           20
 Brand#23   | PROMO ANODIZED COPPER     |      2 |           19
 Brand#32   | LARGE PLATED TIN          |     12 |           19
 Brand#11   | ECONOMY ANODIZED BRASS    |     14 |           16
 Brand#11   | ECONOMY ANODIZED COPPER   |     14 |           16
 Brand#11   | ECONOMY ANODIZED STEEL    |     21 |           16
 Brand#11   | ECONOMY BRUSHED BRASS     |     49 |           16
 Brand#11   | ECONOMY BRUSHED STEEL     |     12 |           16
 Brand#11   | ECONOMY POLISHED COPPER   |     12 |           16
 Brand#11   | LARGE ANODIZED COPPER     |     14 |           16
 Brand#11   | LARGE ANODIZED TIN        |     12 |           16
 Brand#11   | LARGE BRUSHED BRASS       |     17 |           16
 Brand#11   | LARGE BRUSHED COPPER      |     12 |           16
 Brand#11   | LARGE PLATED COPPER       |      6 |           16
 Brand#11   | LARGE PLATED STEEL        |     14 |           16
 Brand#11   | LARGE POLISHED COPPER     |     17 |           16
 Brand#11   | MEDIUM ANODIZED TIN       |     21 |           16
 Brand#11   | MEDIUM BRUSHED NICKEL     |      6 |           16
 Brand#11   | MEDIUM BRUSHED NICKEL     |     14 |           16
 Brand#11   | MEDIUM BRUSHED STEEL      |     49 |           16
 Brand#11   | MEDIUM BURNISHED NICKEL   |     49 |           16
 Brand#11   | MEDIUM BURNISHED STEEL    |      2 |           16
 Brand#11   | MEDIUM BURNISHED STEEL    |      6 |           16
 Brand#11   | MEDIUM PLATED BRASS       |      2 |           16
 Brand#11   | MEDIUM POLISHED BRASS     |     13 |           16
 Brand#11   | MEDIUM POLISHED NICKEL    |      6 |           16
 Brand#11   | MEDIUM POLISHED TIN       |      2 |           16
 Brand#11   | PROMO ANODIZED BRASS      |     49 |           16
 Brand#11   | SMALL ANODIZED COPPER     |     13 |           16
 Brand#11   | SMALL ANODIZED STEEL      |     17 |           16
 Brand#11   | SMALL BRUSHED STEEL       |     49 |           16
 Brand#11   | SMALL BURNISHED NICKEL    |     14 |           16
 Brand#11   | SMALL PLATED COPPER       |     21 |           16
 Brand#11   | STANDARD ANODIZED COPPER  |     14 |           16
 Brand#11   | STANDARD ANODIZED STEEL   |     21 |           16
 Brand#11   | STANDARD BURNISHED STEEL  |      6 |           16
 Brand#11   | STANDARD PLATED BRASS     |      6 |           16
 Brand#11   | STANDARD PLATED STEEL     |     12 |           16
 Brand#12   | ECONOMY ANODIZED TIN      |     14 |           16
