       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
--------------------+-----------+------------+-------------+--------------+--------
 Customer#000021433 |     21433 |    1750466 | 1992-11-30  |    555285.16 | 300.00
 Customer#000128120 |    128120 |    4722021 | 1994-04-07  |    544089.09 | 323.00
 Customer#000144617 |    144617 |    3043270 | 1997-02-12  |    530604.44 | 317.00
 Customer#000108931 |    108931 |    4576548 | 1997-12-26  |    525590.57 | 295.00
 Customer#000013940 |     13940 |    2232932 | 1997-04-13  |    522720.61 | 304.00
 Customer#000024049 |     24049 |    3586919 | 1992-11-07  |    522644.48 | 299.00
 Customer#000066790 |     66790 |    2199712 | 1996-09-30  |    515531.82 | 327.00
 Customer#000051796 |     51796 |    2185667 | 1992-10-08  |    511359.88 | 286.00
 Customer#000100685 |    100685 |    4515876 | 1993-11-02  |    510061.60 | 293.00
 Customer#000141100 |    141100 |     972901 | 1992-07-18  |    508668.52 | 293.00
 Customer#000046435 |     46435 |    4745607 | 1997-07-03  |    508047.99 | 309.00
 Customer#000050327 |     50327 |    1177378 | 1992-09-19  |    508010.56 | 287.00
 Customer#000008936 |      8936 |     631651 | 1992-06-30  |    504509.06 | 290.00
 Customer#000109186 |    109186 |    3967937 | 1995-07-27  |    502906.33 | 298.00
 Customer#000100159 |    100159 |    1395745 | 1998-07-28  |    502742.76 | 297.00
 Customer#000015272 |     15272 |    3883783 | 1993-07-28  |    500241.33 | 302.00
 Customer#000146608 |    146608 |    3342468 | 1994-06-12  |    499794.58 | 303.00
 Customer#000052516 |     52516 |    5709632 | 1995-08-15  |    499753.01 | 280.00
 Customer#000146188 |    146188 |    5471879 | 1993-09-02  |    499290.83 | 292.00
 Customer#000146612 |    146612 |    2474850 | 1994-06-26  |    498810.26 | 290.00
 Customer#000056620 |     56620 |    2152359 | 1996-05-22  |    498599.91 | 291.00
 Customer#000033083 |     33083 |    2121671 | 1994-08-13  |    497529.23 | 290.00
 Customer#000144688 |    144688 |     413762 | 1994-01-05  |    496620.48 | 294.00
 Customer#000039478 |     39478 |    5852742 | 1994-09-08  |    496241.97 | 284.00
 Customer#000004765 |      4765 |     217541 | 1993-01-16  |    496167.96 | 297.00
 Customer#000054733 |     54733 |    4764774 | 1992-10-25  |    496139.09 | 284.00
 Customer#000115841 |    115841 |    2756705 | 1993-03-07  |    495297.13 | 293.00
 Customer#000099446 |     99446 |    1672039 | 1997-11-17  |    495148.48 | 292.00
 Customer#000100810 |    100810 |    3307010 | 1998-05-04  |    494747.48 | 267.00
 Customer#000096103 |     96103 |    5984582 | 1992-03-16  |    494398.79 | 312.00
 Customer#000001045 |      1045 |      95808 | 1995-10-10  |    492147.15 | 274.00
 Customer#000095857 |     95857 |    3597604 | 1993-01-14  |    491820.73 | 286.00
 Customer#000101831 |    101831 |    4311651 | 1995-04-21  |    491549.57 | 267.00
 Customer#000024341 |     24341 |    1474818 | 1992-11-15  |    491348.26 | 302.00
 Customer#000111926 |    111926 |    2844870 | 1996-09-16  |    491096.90 | 289.00
 Customer#000049033 |     49033 |    5893511 | 1992-08-11  |    490806.51 | 272.00
 Customer#000050035 |     50035 |    3160673 | 1994-09-06  |    490788.01 | 295.00
 Customer#000053809 |     53809 |    4676257 | 1997-08-02  |    490133.06 | 288.00
 Customer#000125606 |    125606 |     869154 | 1994-06-12  |    489836.86 | 295.00
 Customer#000121546 |    121546 |    3052454 | 1994-10-20  |    489099.53 | 293.00
 Customer#000042827 |     42827 |    3699520 | 1993-03-02  |    487994.96 | 299.00
 Customer#000030805 |     30805 |      80550 | 1994-05-01  |    487804.99 | 285.00
 Customer#000137446 |    137446 |    5489475 | 1997-05-23  |    487763.25 | 311.00
 Customer#000082174 |     82174 |     182596 | 1993-07-12  |    487747.90 | 289.00
 Customer#000139985 |    139985 |    2820355 | 1995-10-10  |    487405.74 | 298.00
 Customer#000141361 |    141361 |    3233286 | 1997-04-01  |    487207.01 | 259.00
 Customer#000139823 |    139823 |    4328516 | 1992-11-05  |    487178.81 | 293.00
 Customer#000111574 |    111574 |    1775363 | 1994-11-30  |    487033.38 | 283.00
 Customer#000005423 |      5423 |    3605638 | 1998-07-26  |    486911.38 | 272.00
 Customer#000063749 |     63749 |    1003328 | 1994-03-16  |    486417.97 | 280.00
 Customer#000049609 |     49609 |    4290499 | 1997-06-19  |    486362.47 | 294.00
 Customer#000131099 |    131099 |    2000131 | 1997-12-21  |    485869.93 | 286.00
 Customer#000107590 |    107590 |    4267751 | 1994-11-04  |    485141.38 | 301.00
 Customer#000017047 |     17047 |    4206947 | 1996-07-18  |    484188.38 | 297.00
 Customer#000130130 |    130130 |    1905157 | 1996-11-14  |    483987.93 | 287.00
 Customer#000050008 |     50008 |    2366755 | 1996-12-09  |    483891.26 | 302.00
 Customer#000053270 |     53270 |    3847463 | 1996-07-24  |    483445.97 | 272.00
 Customer#000015518 |     15518 |    3456515 | 1998-03-26  |    482781.28 | 299.00
 Customer#000008482 |      8482 |    4046689 | 1995-02-07  |    482259.74 | 294.00
 Customer#000142052 |    142052 |    2704163 | 1994-11-08  |    482106.45 | 292.00
 Customer#000044035 |     44035 |    4453058 | 1994-10-01  |    481660.55 | 258.00
