 s_acctbal |          s_name           |          n_name           | p_partkey |          p_mfgr           |                s_address                 |     s_phone     |                                              s_comment                                               
-----------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+------------------------------------------------------------------------------------------------------
   9977.19 | Supplier#000004464        | UNITED STATES             |     81955 | Manufacturer#2            | q4ujOwFkYY1N                             | 34-684-820-7614 | lly. ironic theodolites at 
      9957 | Supplier#000000234        | UNITED STATES             |     82709 | Manufacturer#1            | iMrk7HUD87at3IIh4rBi                     | 34-187-193-2209 | nag furiously pending dependencies. unusual deposits integrate fur
   9804.55 | Supplier#000007514        | PERU                      |    102493 | Manufacturer#5            | VRv6icraoDzTBpx LaNbxf                   | 27-893-116-7923 | ven ideas dazzle blithely final pinto beans. slyly final account
   9794.42 | Supplier#000009329        | BRAZIL                    |    166812 | Manufacturer#1            | lBFsuZfRRUTipwNtkG                       | 12-966-117-5624 | y even excuses cajole final accounts. furiously regular theodolites haggle. regular requests are ca
   9769.31 | Supplier#000007184        | ARGENTINA                 |     19680 | Manufacturer#2            | AKfsS0cnFq64dK                           | 11-750-116-8427 | ily blithely regular packages. fluffi
   9730.93 | Supplier#000008748        | BRAZIL                    |    138747 | Manufacturer#2            | CtrxObjXNfPadUaK                         | 12-204-143-5759 | fore the blithely bold pinto beans promise bli
   9710.42 | Supplier#000001891        | UNITED STATES             |    159375 | Manufacturer#2            | nmvfVVyBMUitm1hiZv                       | 34-334-635-8569 | e carefully special theodolites. carefully even requests nag among
   9703.05 | Supplier#000003351        | ARGENTINA                 |     80842 | Manufacturer#4            | vb7b9r9na5slC4 MNIQS8hJcWKZga            | 11-368-852-9514 | refully regular requests. dependencies detect carefully about the pending, final d
   9685.37 | Supplier#000002843        | ARGENTINA                 |     12842 | Manufacturer#3            | FPBWGrodgNgZ7FZ0pHjDquoJbjflt1h6yP       | 11-544-776-8269 |  furiously final deposits! bold instructions above the even p
    9681.1 | Supplier#000006765        | BRAZIL                    |    149222 | Manufacturer#1            | q3Y7IQR6N3tp Br04nwI4Rq                  | 12-265-854-7709 | as haggle furiously pending, bold packages. blithely final ideas s
   9677.38 | Supplier#000005030        | BRAZIL                    |    189993 | Manufacturer#3            | uVh0nT4ewaowwgjRyk8kCQ6blCU LnVqhFlvu    | 12-966-699-5374 | foxes believe among the unusual deposits. carefully unusual 
   9669.24 | Supplier#000000538        | PERU                      |     95519 | Manufacturer#1            | KBZ0RSDGTVJQPbWaU6x                      | 27-799-369-5739 | e fluffily regular theodolites. special packages are into the careful
   9661.37 | Supplier#000007180        | PERU                      |      2179 | Manufacturer#4            | iN4nfTIHEPRQ2uNas9XKRxZisFyDyWtV 44Kq    | 27-918-420-2750 | final, final requests haggle quickly along the special packages. even dependencie
   9653.36 | Supplier#000003717        | BRAZIL                    |    116183 | Manufacturer#5            | Rv i0dr JcK9yvpE6E1DP7eh70Mxj            | 12-578-877-7477 | theodolites haggle quickly at the blithely even accounts. sp
   9619.44 | Supplier#000007393        | PERU                      |     52382 | Manufacturer#4            | o93 KCogRzIHG8YznDb                      | 27-616-414-1665 | elets haggle fluffily. furiously express ideas haggle f
   9619.44 | Supplier#000007393        | PERU                      |     97392 | Manufacturer#2            | o93 KCogRzIHG8YznDb                      | 27-616-414-1665 | elets haggle fluffily. furiously express ideas haggle f
   9619.44 | Supplier#000007393        | PERU                      |    154877 | Manufacturer#4            | o93 KCogRzIHG8YznDb                      | 27-616-414-1665 | elets haggle fluffily. furiously express ideas haggle f
   9599.25 | Supplier#000002745        | ARGENTINA                 |     30241 | Manufacturer#5            | AiY,iWimTpLQ1CsF79                       | 11-409-317-7941 |  the carefully even warhorses haggle furiously according to the 
   9582.24 | Supplier#000003367        | PERU                      |     15863 | Manufacturer#5            | P76gRphGSXxNx411Sm5cOU5Ris               | 27-129-619-8835 | requests haggle carefully th
   9576.64 | Supplier#000006495        | UNITED STATES             |     46494 | Manufacturer#3            | vKOq9W5U9vh2,KuaVFibFDa2kqjUR4dkj2H      | 34-929-655-1316 | nstructions cajole blithely above the fluff
    9560.5 | Supplier#000003209        | ARGENTINA                 |    163208 | Manufacturer#5            | qQYwsLNgelc0XrkX                         | 11-553-898-5474 |  regular foxes. even instructions haggle after the never final deposits. ideas cajole carefully
    9476.2 | Supplier#000006748        | CANADA                    |    134234 | Manufacturer#1            | rC,2rEn8gKDIS5Q0dJEoiF                   | 13-738-629-6562 | al theodolites are across the slyly final dependencies. slyly express instructions engage after the 
   9467.35 | Supplier#000000389        | UNITED STATES             |    130388 | Manufacturer#2            | FW96liSdq3noHJpwM                        | 34-885-883-5717 | nag ironic packages. ironic pinto beans would sleep furiously. regular realms wake across the 
   9451.71 | Supplier#000007132        | CANADA                    |    154616 | Manufacturer#1            | xonvn0KAQIL3p8kYk HC1FSSDSUSTC           | 13-378-981-2173 | ffily stealthy foxes are slyly across the even, regular ideas. ironic dependencies according to the
   9376.37 | Supplier#000006761        | CANADA                    |     21756 | Manufacturer#2            | n4jhxGMqB5prD1HhpLvwrWStOLlla            | 13-806-833-5081 |  the deposits boost at the furiously final deposits. 
   9364.91 | Supplier#000003462        | CANADA                    |     18459 | Manufacturer#2            | se8groc4wD7                              | 13-423-684-7692 | uffily regular packages; fu
   9343.63 | Supplier#000006102        | ARGENTINA                 |     98574 | Manufacturer#3            | APhYFpQ5j2m                              | 11-580-909-9223 | e ironically final platelets. blithely even sentiments nag carefully ironic theodolites. gifts sleep
