          nation           | o_year |     sum_profit     
---------------------------+--------+--------------------
 ALGERIA                   |   1998 | 29006391.865600012
 ALGERIA                   |   1997 |  50317723.77979999
 ALGERIA                   |   1996 |  51462840.48980002
 ALGERIA                   |   1995 |      46528208.9478
 ALGERIA                   |   1994 |      49148372.6928
 ALGERIA                   |   1993 | 51453610.365399994
 ALGERIA                   |   1992 |  52105147.91009998
 ARGENTINA                 |   1998 | 28780173.574800007
 ARGENTINA                 |   1997 |      48814176.4138
 ARGENTINA                 |   1996 |  46862298.28229999
 ARGENTINA                 |   1995 |  47230853.18659997
 ARGENTINA                 |   1994 | 48286414.815399975
 ARGENTINA                 |   1993 |      49230460.4983
 ARGENTINA                 |   1992 |      48411521.3149
 BRAZIL                    |   1998 |  28215780.07210001
 BRAZIL                    |   1997 |      47283024.5289
 BRAZIL                    |   1996 |  48223207.90630001
 BRAZIL                    |   1995 |  49027532.72720001
 BRAZIL                    |   1994 | 48952560.327000014
 BRAZIL                    |   1993 |      47108731.4982
 BRAZIL                    |   1992 | 46951654.341000006
 CANADA                    |   1998 | 30354601.496999998
 CANADA                    |   1997 | 49454024.065300025
 CANADA                    |   1996 |  49511242.67469999
 CANADA                    |   1995 |      50330335.7587
 CANADA                    |   1994 |       50926331.084
 CANADA                    |   1993 |  50494697.20620001
 CANADA                    |   1992 |  51613036.00060001
 CHINA                     |   1998 |  27947922.50019998
 CHINA                     |   1997 | 48011238.754800014
 CHINA                     |   1996 |  48489898.14369998
 CHINA                     |   1995 |       46226282.883
 CHINA                     |   1994 | 46499735.113800004
 CHINA                     |   1993 |  46098436.10469998
 CHINA                     |   1992 |  48843117.79970001
 EGYPT                     |   1998 | 30213391.217799988
 EGYPT                     |   1997 |      51329263.7439
 EGYPT                     |   1996 |  51690387.02799997
 EGYPT                     |   1995 |  51209078.73460002
 EGYPT                     |   1994 |  51128259.59449999
 EGYPT                     |   1993 | 51866889.707699984
 EGYPT                     |   1992 | 50800798.373299964
 ETHIOPIA                  |   1998 | 28542002.273199998
 ETHIOPIA                  |   1997 |      46569196.9613
 ETHIOPIA                  |   1996 |      47812908.2732
 ETHIOPIA                  |   1995 | 45075166.340599984
 ETHIOPIA                  |   1994 | 45229883.571499996
 ETHIOPIA                  |   1993 |  47691359.87089998
 ETHIOPIA                  |   1992 |  47642629.37550001
 FRANCE                    |   1998 | 26878857.419600017
 FRANCE                    |   1997 |  43456831.01859997
 FRANCE                    |   1996 | 43680200.024999976
 FRANCE                    |   1995 |  44485170.29110001
 FRANCE                    |   1994 | 45963281.773800015
 FRANCE                    |   1993 |  45605603.50940001
 FRANCE                    |   1992 |      44823897.8268
 GERMANY                   |   1998 | 27156562.874399994
 GERMANY                   |   1997 | 47045354.118399985
 GERMANY                   |   1996 | 46752017.803100005
 GERMANY                   |   1995 | 46491254.188999966
 GERMANY                   |   1994 |  45284425.71879998
 GERMANY                   |   1993 |  45176371.77699999
 GERMANY                   |   1992 |  45620281.60310002
 INDIA                     |   1998 |  30034042.94729999
 INDIA                     |   1997 |  49383932.27880003
 INDIA                     |   1996 |  51718733.02820003
 INDIA                     |   1995 |      50185449.7492
 INDIA                     |   1994 |      48925611.8155
 INDIA                     |   1993 | 50148694.658800006
 INDIA                     |   1992 |  49978293.30160004
 INDONESIA                 |   1998 | 27052416.114600003
 INDONESIA                 |   1997 |  46761196.39149999
 INDONESIA                 |   1996 | 47940834.694800004
 INDONESIA                 |   1995 |  45760313.39690002
 INDONESIA                 |   1994 |  47027080.95900003
 INDONESIA                 |   1993 | 45523825.424100004
 INDONESIA                 |   1992 | 47891094.470699996
 IRAN                      |   1998 |  25429608.33010001
 IRAN                      |   1997 | 44796580.071900025
 IRAN                      |   1996 |      46465375.1824
 IRAN                      |   1995 |  47902208.18759999
 IRAN                      |   1994 |      45291533.9929
 IRAN                      |   1993 |  45535225.15699997
 IRAN                      |   1992 | 45756943.929600015
 IRAQ                      |   1998 |      26459858.0312
 IRAQ                      |   1997 |  47192233.93829998
 IRAQ                      |   1996 | 48769051.388399996
 IRAQ                      |   1995 |  49549289.02589999
 IRAQ                      |   1994 |  45448716.69750001
 IRAQ                      |   1993 |      46146217.6512
 IRAQ                      |   1992 |  45727567.12579999
 JAPAN                     |   1998 | 25161902.604599994
 JAPAN                     |   1997 |  41597486.71979998
 JAPAN                     |   1996 |      42278968.7214
 JAPAN                     |   1995 | 42868992.047899984
 JAPAN                     |   1994 |  41669364.81789999
 JAPAN                     |   1993 |  43703497.50270003
 JAPAN                     |   1992 |  42980714.38509995
 JORDAN                    |   1998 |  25221109.76600001
 JORDAN                    |   1997 | 45894276.042600006
 JORDAN                    |   1996 |  45408252.04920002
 JORDAN                    |   1995 |  42790314.81420001
