procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 4798800  50404 2354360    0    0   240    10  136  156  8  4 88  0  0
 1  0      0 4767740  50444 2355476    0    0     0   232 2169 2092 33  3 64  0  0
 1  0      0 4726224  50444 2388056    0    0     0     0 1189 1137 12  4 84  0  0
 2  0      0 4724992  50444 2388160    0    0     0     0  786  633  8  6 87  0  0
 3  0      0 4725244  50444 2388164    0    0     0   292  940  964  9  4 87  0  0
 2  0      0 4724488  50444 2388164    0    0     0     0  901  924  9  4 87  0  0
 2  0      0 4724740  50444 2388172    0    0     0    36  757  692  8  5 87  0  0
 2  0      0 4726504  50452 2388176    0    0     0 30684  862  727  9  4 87  0  0
 6  0      0 4726012  50452 2388180    0    0     0     0  919  849  8  6 86  0  0
 3  0      0 4727524  50452 2388184    0    0     0     0  861  832  8  5 87  0  0
 1  0      0 4727524  50452 2388188    0    0     0     0  881  867  8  5 87  0  0
 1  0      0 4726516  50452 2388188    0    0     0     0  863  828  9  4 87  0  0
 3  0      0 4726516  50460 2388192    0    0     0    72  784  783  8  5 87  0  0
 4  0      0 4727276  50460 2388196    0    0     0     0  813  724  8  5 87  0  0
 1  0      0 4727528  50460 2388196    0    0     0     0  920  922  8  4 87  0  0
 1  0      0 4728800  50460 2388204    0    0     0     0  864  831  8  5 87  0  0
 1  0      0 4727792  50460 2388204    0    0     0     0  843  747  8  5 87  0  0
 3  0      0 4727568  50468 2388212    0    0     0    24  970  887  8  5 87  0  0
 3  0      0 4727568  50468 2388216    0    0     0    32  945  879  8  5 87  0  0
 4  0      0 4727040  50468 2388220    0    0     0     0  918  916  8  5 86  0  0
 1  0      0 4726308  50468 2388220    0    0     0     0  770  712  8  5 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 4727128  50472 2384412    0    0     0    84  678  551  8  5 87  0  0
 2  0      0 4731052  50476 2380312    0    0     0     4  876  824  9  4 87  0  0
 1  0      0 4734736  50476 2378056    0    0     0     0  861  751  8  5 87  0  0
 2  0      0 4738768  50476 2374204    0    0     0    32  770  684  9  4 87  0  0
 1  1      0 4742776  50476 2370136    0    0     0   152  903  836  8  5 87  0  0
 1  0      0 4745944  50476 2366012    0    0     0   260  985  954  8  4 87  0  0
 1  0      0 4747840  50484 2363612    0    0     0    80  864  826  9  4 87  0  0
 1  0      0 4748200  50484 2361788    0    0     0     0  890  910  8  5 87  0  0
 1  0      0 4753600  50484 2357096    0    0     0     0  885  817  8  5 87  0  0
 3  0      0 4572576  50488 2540296    0    0     0    32 1784 1897 17  7 76  0  0
 3  0      0 4744864  50488 2369952    0    0     0    28 3344 4099 28  7 65  0  0
 3  0      0 4740288  50500 2377372    0    0     0   244 3148 3871 27  8 65  0  0
 4  0      0 4758600  50500 2380860    0    0     8   128 3585 4826 28  5 66  0  0
 1  0      0 4740848  50500 2382556    0    0     0     0 1185 1196 10  4 86  0  0
 2  0      0 4741120  50500 2382748    0    0     0  1380  859  766  9  4 87  0  0
 4  0      0 4742884  50500 2382748    0    0     0     0  735  612  9  4 87  0  0
 3  0      0 4742884  50512 2382756    0    0     0   164  968  984  9  5 87  0  0
 1  0      0 4742884  50512 2382756    0    0     0     0  880  800  9  5 87  0  0
 2  0      0 4742632  50512 2382760    0    0     0     0  870  825  8  5 87  0  0
 1  0      0 4741384  50524 2382896    0    0    40     0 1223 1402  9  4 87  0  0
 4  1      0 4741384  50528 2382904    0    0     0    20  702  566  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 4741384  50532 2382908    0    0     0     4  848  778  9  4 87  0  0
 4  0      0 4741384  50532 2382912    0    0     0     0  834  748  9  4 87  0  0
 3  0      0 4741384  50532 2382920    0    0     0     0  880  829  9  4 87  0  0
 1  0      0 4740628  50532 2382920    0    0     0     0  870  872  9  4 87  0  0
 1  0      0 4741312  50532 2382932    0    0     0    52  893  882  9  3 87  0  0
 1  0      0 4740376  50540 2382932    0    0     0    40  918  832  9  4 87  0  0
 2  0      0 4741060  50540 2382936    0    0     0     0  865  828  9  5 87  0  0
 1  0      0 4740880  50540 2382940    0    0     0     0  788  733  9  4 87  0  0
 3  0      0 4741396  50540 2382940    0    0     0     0  727  609  9  4 87  0  0
 2  0      0 4740388  50540 2382948    0    0     0     0  864  828  9  4 87  0  0
 2  0      0 4739652  50548 2382948    0    0     0    44  754  582  9  4 87  0  0
 2  0      0 4739400  50548 2382952    0    0     0     0  726  564  9  4 87  0  0
 2  0      0 4739400  50548 2382956    0    0     0     0  679  529  9  3 87  0  0
 2  0      0 4738620  50548 2382960    0    0     0     8  834  680  8  5 87  0  0
 4  1      0 4737644  50552 2382960    0    0     0    32  664  510  8  5 87  0  0
 4  0      0 4738160  50556 2382968    0    0     0   248  656  459  9  4 87  0  0
 2  0      0 4738420  50556 2382968    0    0     0    32  762  637  9  4 87  0  0
 2  0      0 4739692  50556 2382972    0    0     0     0  694  553  9  4 87  0  0
 2  0      0 4739928  50556 2382976    0    0     0     0  714  569  9  4 87  0  0
 3  1      0 4739468  50560 2382976    0    0     0    32  768  606  8  5 87  0  0
 2  0      0 4739468  50564 2382980    0    0     0     4  807  712  8  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4741040  50564 2382984    0    0     0     0  699  570  9  4 87  0  0
 2  0      0 4741208  50564 2382988    0    0     0    32  655  497  9  4 87  0  0
 1  0      0 4741240  50564 2382992    0    0     0     0  732  651  9  4 87  0  0
 4  1      0 4741240  50572 2382988    0    0     0    32  749  574  9  5 87  0  0
 4  0      0 4740988  50572 2382996    0    0     0     0  829  703  9  4 87  0  0
 2  0      0 4740748  50572 2383004    0    0     0     0  799  748  8  5 87  0  0
 2  0      0 4740496  50572 2383004    0    0     0     0  709  548  9  4 87  0  0
 2  0      0 4740496  50572 2383004    0    0     0    28  742  556  8  4 87  0  0
 2  0      0 4740496  50572 2383012    0    0     0     0  656  515  8  4 87  0  0
 6  0      0 4742040  50580 2383012    0    0     0    32  619  417  8  4 87  0  0
 4  0      0 4741032  50580 2383012    0    0     0     0  768  623  9  4 87  0  0
 3  0      0 4741032  50580 2383020    0    0     0     0  798  712  8  4 87  0  0
 2  0      0 4739772  50580 2383024    0    0     0     0  784  708  9  4 87  0  0
 1  2      0 4739772  50584 2383024    0    0     0    60  765  620  9  4 87  0  0
 1  0      0 4739772  50588 2383032    0    0     0     4  701  557  9  4 87  0  0
 1  0      0 4739772  50588 2383036    0    0     0     0  745  610  9  4 87  0  0
 4  0      0 4739772  50596 2383028    0    0     0    40  664  523  9  4 87  0  0
 2  0      0 4739532  50596 2383044    0    0     0     0  609  436  9  4 87  0  0
 3  0      0 4739508  50596 2383044    0    0     0     0  705  543  8  4 87  0  0
 2  0      0 4739532  50596 2383048    0    0     0    32  720  527  8  4 87  0  0
 4  0      0 4739532  50596 2383052    0    0     0     0  761  632  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 4739028  50600 2383052    0    0     0    48  640  496  9  4 87  0  0
 1  0      0 4739028  50604 2383060    0    0     0   188  742  615  9  4 87  0  0
 1  0      0 4739028  50604 2383064    0    0     0     0  742  633  9  4 87  0  0
 1  0      0 4739280  50604 2383064    0    0     0     0  775  600  8  5 87  0  0
 1  0      0 4739040  50604 2383068    0    0     0    32  772  657  9  4 87  0  0
 1  0      0 4739040  50604 2383072    0    0     0     0  711  563  9  4 87  0  0
 1  0      0 4739040  50612 2383076    0    0     0    40  712  545  9  4 87  0  0
 1  0      0 4739040  50612 2383084    0    0     0     0  698  554  9  4 87  0  0
 1  0      0 4739040  50612 2383084    0    0     0    44  739  600  8  5 87  0  0
 1  0      0 4739300  50612 2383088    0    0     0     0  719  620  9  4 87  0  0
 1  0      0 4740076  50612 2383092    0    0     0    36  701  545  9  4 87  0  0
 1  0      0 4739812  50620 2383092    0    0     0    40  778  688  8  5 87  0  0
 1  0      0 4739836  50620 2383096    0    0     0     0  772  712  9  4 87  0  0
 1  0      0 4740316  50620 2383104    0    0     0     0  789  736  8  4 87  0  0
 1  0      0 4739560  50620 2383104    0    0     0     0  755  682  9  4 87  0  0
 1  0      0 4739332  50620 2383104    0    0     0     0  639  505  9  4 87  0  0
 1  0      0 4739332  50628 2383112    0    0     0    48  659  490  8  4 87  0  0
 1  0      0 4739584  50628 2383112    0    0     0     0  755  609  8  5 87  0  0
 1  0      0 4739584  50628 2383120    0    0     0     0  736  623  9  4 87  0  0
 1  0      0 4739572  50628 2383120    0    0     0     0  782  680  9  4 87  0  0
 1  0      0 4739596  50628 2383124    0    0     0     0  735  591  8  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 4739344  50636 2383128    0    0     0    32  772  604  8  4 87  0  0
 1  0      0 4739344  50668 2383132    0    0     0   160  815  690  9  4 87  0  0
 1  0      0 4738588  50684 2383132    0    0     0   116  977  933  9  4 87  0  0
 1  0      0 4739344  50700 2383120    0    0     0   252  701  599  9  4 87  0  0
 1  0      0 4739344  50700 2383140    0    0     0     0  759  586  9  4 87  0  0
 1  0      0 4740868  50700 2383140    0    0     0     0  718  576  9  4 87  0  0
 1  0      0 4740868  50700 2383148    0    0     0     0  776  680  9  4 87  0  0
 2  0      0 4740868  50708 2383144    0    0     0    92  777  620  9  4 87  0  0
 2  0      0 4740868  50708 2383152    0    0     0     0  743  591  9  4 87  0  0
 2  0      0 4740616  50708 2383156    0    0     0     0  730  563  9  4 87  0  0
 2  0      0 4740844  50708 2383160    0    0     0     0  687  577  9  4 87  0  0
 4  0      0 4741132  50708 2383160    0    0     0     8  588  370  9  4 87  0  0
 2  0      0 4740124  50708 2383164    0    0     0     0  716  560  9  3 87  0  0
 2  0      0 4740352  50716 2383168    0    0     0    84  781  672  8  4 87  0  0
 4  0      0 4740632  50716 2383172    0    0     0     0  743  584  8  4 87  0  0
 3  0      0 4740884  50716 2383176    0    0     0     0  736  598  9  4 87  0  0
 2  0      0 4740860  50716 2383176    0    0     0     0  621  501  8  5 87  0  0
 3  0      0 4740884  50716 2383184    0    0     0     0  650  430  8  5 87  0  0
 1  0      0 4740392  50724 2383184    0    0     0    32  834  766  9  4 87  0  0
 1  0      0 4740644  50724 2383188    0    0     0     0  780  693  9  4 87  0  0
 1  0      0 4740392  50724 2383196    0    0     0   152  774  703  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4740392  50724 2383196    0    0     0     0  831  710  9  4 87  0  0
 1  0      0 4738880  50732 2383188    0    0     0    16  861  763  8  5 87  0  0
 1  0      0 4738880  50732 2383200    0    0     0     0  724  560  8  4 87  0  0
 1  0      0 4738880  50732 2383204    0    0     0     0  671  600  9  4 87  0  0
 4  0      0 4739644  50732 2383204    0    0     0     0  603  393  9  4 87  0  0
 2  0      0 4741168  50732 2383212    0    0     0     0  735  579  9  4 87  0  0
 5  0      0 4741168  50732 2383212    0    0     0     4  745  590  8  5 87  0  0
 4  0      0 4740916  50740 2383216    0    0     0    12  829  767  9  4 87  0  0
 3  0      0 4740916  50740 2383220    0    0     0     0  782  679  8  5 87  0  0
 3  0      0 4740664  50740 2383228    0    0     0     0  817  757  8  5 87  0  0
 2  0      0 4740412  50740 2383228    0    0     0     0  764  662  9  4 87  0  0
 2  0      0 4740412  50748 2383224    0    0     0    16  661  546  9  4 87  0  0
 2  0      0 4740424  50748 2383236    0    0     0     0  575  391  9  4 87  0  0
 3  0      0 4740172  50748 2383236    0    0     0     0  712  556  9  4 87  0  0
 3  0      0 4740172  50748 2383244    0    0     0     0  840  826  9  4 87  0  0
 2  0      0 4739932  50748 2383244    0    0     0     0  710  567  9  4 87  0  0
 4  0      0 4740204  50748 2383252    0    0     0    12  737  555  9  4 87  0  0
 2  0      0 4740204  50756 2383252    0    0     0     4  741  589  9  4 87  0  0
 1  0      0 4739196  50756 2383256    0    0     0     0  796  647  9  4 87  0  0
 1  0      0 4738188  50756 2383260    0    0     0     0  744  629  8  5 87  0  0
 1  0      0 4737432  50756 2383264    0    0     0     0  619  472  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4738188  50764 2383256    0    0     0    16  763  635  8  5 87  0  0
 1  0      0 4738416  50764 2383272    0    0     0     0  845  784  9  3 87  0  0
 1  0      0 4737936  50764 2383272    0    0     0   116  774  686  9  4 87  0  0
 5  0      0 4737696  50764 2383272    0    0     0     0  735  583  9  3 87  0  0
 1  0      0 4737444  50828 2383216    0    0     0   336  917  891  9  4 87  0  0
 3  0      0 4737444  50828 2383280    0    0     0     0  648  498  9  4 87  0  0
 1  0      0 4738788  50828 2383284    0    0     0     0  745  687  8  5 87  0  0
 1  0      0 4739220  50828 2383288    0    0     0     0  796  733  9  4 87  0  0
 2  0      0 4739400  50828 2383288    0    0     0     0  774  695  9  4 87  0  0
 3  1      0 4739500  50832 2383296    0    0     0    12  733  570  8  4 87  0  0
 3  0      0 4738252  50836 2383296    0    0     0     4  769  710  9  4 87  0  0
 1  0      0 4738252  50836 2383300    0    0     0    72  777  710  9  4 87  0  0
 4  0      0 4738000  50836 2383304    0    0     0     0  692  555  8  5 87  0  0
 4  0      0 4737748  50836 2383308    0    0     0     0  648  499  8  5 87  0  0
 4  0      0 4737976  50836 2383308    0    0     0     0  694  568  9  4 87  0  0
 3  0      0 4738000  50844 2383316    0    0     0    16  876  828  9  4 87  0  0
 3  0      0 4738000  50844 2383316    0    0     0     0  726  577  9  5 87  0  0
 4  0      0 4737760  50844 2383320    0    0     0     0  705  552  9  4 87  0  0
 4  0      0 4737760  50844 2383324    0    0     0     0  733  564  9  4 87  0  0
 1  3      0 4737004  50848 2383324    0    0     0    12  835  815  8  5 87  0  0
 1  0      0 4737256  50852 2383328    0    0     0     4  925  799  9  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 4737004  50852 2383332    0    0     0     0  819  737  9  4 87  0  0
 4  0      0 4736752  50852 2383336    0    0     0     0  644  499  9  4 87  0  0
